Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,uber,$721.45,$721.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$721.45,-,-
,doordash,$717.40,$717.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$717.40,-,-
,uber sales,$716.25,$716.25,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$716.25,-,-
,uber sale,$711.85,$711.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$711.85,-,-
,uber sales,$707.20,$707.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$707.20,-,-
,uber,$705.60,$705.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.25%,$705.60,-,-
,uber,$701.33,$701.33,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$701.33,-,-
,uber sales,$694.83,$694.83,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$694.83,-,-
,uber sales,$693.90,$693.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$693.90,-,-
,doordash sales,$687.90,$687.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$687.90,-,-
,uber,$685.30,$685.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$685.30,-,-
,uber sales,$682.70,$682.70,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$682.70,-,-
,uber sales,$682.50,$682.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$682.50,-,-
,uber,$676.95,$676.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.24%,$676.95,-,-
,uber,$668.45,$668.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.23%,$668.45,-,-
,doordash,$667.80,$667.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.23%,$667.80,-,-
,uber sales,$662.85,$662.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.23%,$662.85,-,-
,doordash sales,$658.05,$658.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.23%,$658.05,-,-
,doordash,$647.40,$647.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$647.40,-,-
,doordash,$644.40,$644.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$644.40,-,-
,uber sales,$642.11,$642.11,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$642.11,-,-
,uber sales,$626.25,$626.25,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$626.25,-,-
,uber sales,$626.20,$626.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$626.20,-,-
,Sliders and Mac x125,$625.00,$625.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$625.00,-,-
,uber,$620.50,$620.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$620.50,-,-
,doordash,$619.30,$619.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.22%,$619.30,-,-
,uber,$617.95,$617.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$617.95,-,-
,doordash,$602.65,$602.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$602.65,-,-
,Staff/setup/delivery,$600.00,$600.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$600.00,-,-
,uber,$596.05,$596.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.21%,$596.05,-,-
