Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$53.16,$53.16,3,0," "," ",-,$0.00,$0.00,0.08%,$17.72,-,-
,Calzone Cheese - Small,$59.94,$52.94,6,0," "," ",-,-$7.00,$0.00,0.08%,$8.82,-,-
,Custom 1 Calzone with 10 Wings and 2 Soda Can - Single Size,$51.98,$51.98,2,0," "," ",-,$0.00,$0.00,0.08%,$25.99,-,-
,"Sausage, Peppers & Onions (custom 1) - Single Size",$51.96,$51.96,4,0," "," ",-,$0.00,$0.00,0.08%,$12.99,-,-
,Chicken Parmigiana Sub,$51.45,$51.45,5,0," "," ",-,$0.00,$0.00,0.08%,$10.29,-,-
,Calzone Meat Lovers - Large,$50.94,$50.94,3,0," "," ",-,$0.00,$0.00,0.08%,$16.98,-,-
,"Custom Cheese Pizza - Large 16"" - Crispy and Well Done",$50.94,$50.94,3,0," "," ",-,$0.00,$0.00,0.08%,$16.98,-,-
,"Hawaiian - Medium 14"" - Regular Crust",$50.94,$50.94,3,0," "," ",-,$0.00,$0.00,0.08%,$16.98,-,-
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$50.88,$50.88,3,0," "," ",-,$0.00,$0.00,0.08%,$16.96,-,-
,Fettuccini Alfredo,$50.73,$50.73,3,0," "," ",-,$0.00,$0.00,0.08%,$16.91,-,-
,," "," "," "," ",Chicken,1,$2.39," "," "," "," "," "," "
,," "," "," "," ",No Thanks,2,$0.18," "," "," "," "," "," "
,," "," "," "," ",Caesar Salad,1,$3.19," "," "," "," "," "," "
,Garlic Bread,$59.01,$50.49,8,0," "," ",-,-$8.52,$0.00,0.08%,$6.31,-,-
,," "," "," "," ",Plain,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Cheese,3,$3.09," "," "," "," "," "," "
,2 Slices & Can Soda,$55.93,$50.39,7,0," "," ",-,-$5.54,$0.00,0.08%,$7.20,-,-
,," "," "," "," ",7 Up Diet,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepsi,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cheese Slice,14,$0.00," "," "," "," "," "," "
,Chicken Chunks 1/2 LBS,$59.95,$50.28,5,0," "," ",-,-$9.67,$0.00,0.08%,$10.06,-,-
,," "," "," "," ",BBQ,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Parmesan,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot or Buffalo,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Italian,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Dressing,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,3,$1.00," "," "," "," "," "," "
,," "," "," "," ",1 Pound,1,$3.00," "," "," "," "," "," "
,," "," "," "," ",1/2 Pound,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sweet & Sour,1,$1.00," "," "," "," "," "," "
,Custom 2 Medium Pies - Single Size,$49.97,$49.97,1,0," "," ",-,$0.00,$0.00,0.08%,$49.97,-,-
,Pasta with Marinara (custom 1) - Single Size,$49.95,$49.95,5,0," "," ",-,$0.00,$0.00,0.08%,$9.99,-,-
,2 Medium Pies (custom 1) - Single Size,$49.47,$49.47,1,0," "," ",-,$0.00,$0.00,0.07%,$49.47,-,-
,Fettuccini Alfredo (custom 1) - Single Size,$49.44,$49.44,3,0," "," ",-,$0.00,$0.00,0.07%,$16.48,-,-
,Small Greek Salad,$58.00,$49.34,6,0," "," ",-,-$8.66,$0.00,0.07%,$8.22,-,-
,," "," "," "," ",Extra Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Feta,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",House Vinagrete,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Italian,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Grilled Chicken,1,$2.00," "," "," "," "," "," "
,," "," "," "," ",Large,2,$2.06," "," "," "," "," "," "
,," "," "," "," ",Small,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepperoncini Peppers,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Black Olives,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Kalamatta Olives,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Shredded Carrots,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Tomatoes,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cucumbers,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Jalapeno,1,$0.00," "," "," "," "," "," "
,"Custom Sicilian Deep Dish - Large 16"" - Deep Dish",$49.14,$49.14,2,0," "," ",-,$0.00,$0.00,0.07%,$24.57,-,-
,"Custom Cheese Pizza - Personal 10"" - Regular Crust",$50.76,$49.00,4,0," "," ",-,-$1.76,$0.00,0.07%,$12.25,-,-
,"Custom Pepperoni Pizza - Extra Large 18"" - Regular Crust",$48.94,$48.94,2,0," "," ",-,$0.00,$0.00,0.07%,$24.47,-,-
,Margherita,$48.80,$48.80,3,0," "," ",-,$0.00,$0.00,0.07%,$16.27,-,-
,," "," "," "," ","Large 16""",1,$2.58," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$1.55," "," "," "," "," "," "
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,Small Calzone Meat Lover's,$48.06,$48.06,3,0," "," ",-,$0.00,$0.00,0.07%,$16.02,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,," "," "," "," ",Small,2,$0.00," "," "," "," "," "," "
,Eggplant Rollantini,$51.83,$48.00,3,0," "," ",-,-$3.83,$0.00,0.07%,$16.00,-,-
,," "," "," "," ",Add Spinach,2,$3.98," "," "," "," "," "," "
,," "," "," "," ",Without Spinach,1,$0.00," "," "," "," "," "," "
,Wings (custom 1) - 10 Pieces,$47.97,$47.97,3,0," "," ",-,$0.00,$0.00,0.07%,$15.99,-,-
,Custom Greek Salad - Small,$59.94,$47.95,6,1," "," ",-,-$2.00,-$9.99,0.07%,$9.59,-,-
,Custom 2 Slice and 1 Can of Soda - Single Size,$47.88,$47.88,6,0," "," ",-,$0.00,$0.00,0.07%,$7.98,-,-
,Calzone Anthonys - Large,$50.94,$47.54,3,0," "," ",-,-$3.40,$0.00,0.07%,$15.85,-,-
,Custom Calzone Cheese - Large,$47.22,$47.22,3,0," "," ",-,$0.00,$0.00,0.07%,$15.74,-,-
,"6 Slices 12"" Pizza",$46.74,$46.74,3,0," "," ",-,$0.00,$0.00,0.07%,$15.58,-,-
,," "," "," "," ",Pepperoni,2,$3.18," "," "," "," "," "," "
,," "," "," "," ",Sausage,1,$1.59," "," "," "," "," "," "
,Meatball Parmigiana Sub,$56.55,$46.26,6,0," "," ",-,-$10.29,$0.00,0.07%,$7.71,-,-
,," "," "," "," ",Extra Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mozzarella Cheese,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sausage,1,$0.99," "," "," "," "," "," "
,Shrimp Scampi,$50.94,$46.22,3,0," "," ",-,-$4.72,$0.00,0.07%,$15.41,-,-
,2 Medium Pies (custom 1) - Single Size,$45.99,$45.99,1,0," "," ",-,$0.00,$0.00,0.07%,$45.99,-,-
,"Custom Cheese Pizza - Large 16"" - Regular Crust",$45.90,$45.90,2,0," "," ",-,$0.00,$0.00,0.07%,$22.95,-,-
,Custom Cheese Stromboli - Small,$45.56,$45.56,4,0," "," ",-,$0.00,$0.00,0.07%,$11.39,-,-
,Lobster Ravioli - Single Size,$45.00,$45.00,2,0," "," ",-,$0.00,$0.00,0.07%,$22.50,-,-
,"Custom Veggie Lovers - Medium 14"" - Regular Crust",$44.94,$44.94,2,0," "," ",-,$0.00,$0.00,0.07%,$22.47,-,-
,Spaghetti Carbonara,$44.76,$44.76,3,0," "," ",-,$0.00,$0.00,0.07%,$14.92,-,-
,," "," "," "," ",Spaghetti,3,$0.00," "," "," "," "," "," "
,"Custom Pepperoni Pizza - Large 16"" - Regular Crust",$44.34,$44.34,2,0," "," ",-,$0.00,$0.00,0.07%,$22.17,-,-
,"Pepperoni Pizza (custom 1) - Extra Large 18"" -  Thin Crust",$43.96,$43.96,2,0," "," ",-,$0.00,$0.00,0.07%,$21.98,-,-
,"Pepperoni Pizza (custom 1) - Extra Large 18"" - Regular Crust ",$43.96,$43.96,2,0," "," ",-,$0.00,$0.00,0.07%,$21.98,-,-
,"Custom Cheese Pizza - Extra Large 18"" - Thin Crust",$43.94,$43.94,2,0," "," ",-,$0.00,$0.00,0.07%,$21.97,-,-
,Cannoli - Single Size,$44.91,$43.91,9,0," "," ",-,-$1.00,$0.00,0.07%,$4.88,-,-
,BYO Slice,$43.65,$43.65,9,0," "," ",-,$0.00,$0.00,0.07%,$4.85,-,-
,," "," "," "," ",Chicken,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Jalapeno,3,$2.25," "," "," "," "," "," "
,," "," "," "," ",Onions,2,$1.50," "," "," "," "," "," "
,," "," "," "," ",Black Olives,2,$1.50," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,2,$1.50," "," "," "," "," "," "
,Small Calzone Cheese,$52.05,$43.61,4,0," "," ",-,-$8.44,$0.00,0.07%,$10.90,-,-
,," "," "," "," ",Large,1,$4.09," "," "," "," "," "," "
,," "," "," "," ",Small,3,$0.00," "," "," "," "," "," "
,"Pepperoni Pizza - Personal 10"" -  Regular Crust",$43.56,$43.56,4,0," "," ",-,$0.00,$0.00,0.07%,$10.89,-,-
,"Pepperoni Pizza - Small 12"" -  Regular Crust",$43.44,$43.44,3,0," "," ",-,$0.00,$0.00,0.07%,$14.48,-,-
,Cheesesteak Pizza,$42.63,$42.63,2,0," "," ",-,$0.00,$0.00,0.06%,$21.32,-,-
,," "," "," "," ",Ranch,1,$1.00," "," "," "," "," "," "
,," "," "," "," ","Extra Large 18""",1,$7.73," "," "," "," "," "," "
,," "," "," "," ","Small 12""",1,$0.00," "," "," "," "," "," "
,2 Large Pepperoni Pies and a 2L Soda (custom 1) - Single Size,$42.17,$42.17,1,0," "," ",-,$0.00,$0.00,0.06%,$42.17,-,-
,Garlic Bread - With Cheese,$41.93,$41.93,7,0," "," ",-,$0.00,$0.00,0.06%,$5.99,-,-
,Custom Chicken Chunks - 1.5 Pounds,$43.98,$41.78,2,0," "," ",-,-$2.20,$0.00,0.06%,$20.89,-,-
,Mozzarella Sticks,$48.93,$41.32,7,0," "," ",-,-$7.61,$0.00,0.06%,$5.90,-,-
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$41.19,$41.19,3,0," "," ",-,$0.00,$0.00,0.06%,$13.73,-,-
,10 Wings,$40.88,$40.88,2,0," "," ",-,$0.00,$0.00,0.06%,$20.44,-,-
,," "," "," "," ",Garlic Parmesan,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Teriyaki,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",10 Pieces,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",20 Pieces,1,$8.90," "," "," "," "," "," "
,Meatballs (2),$47.85,$40.12,11,0," "," ",-,-$7.73,$0.00,0.06%,$3.65,-,-
,," "," "," "," ",Extra Cheese,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Mozzarella Cheese,2,$1.98," "," "," "," "," "," "
,," "," "," "," ",Ricotta Cheese,1,$0.99," "," "," "," "," "," "
,Mediterranean Pizza,$40.08,$40.08,2,0," "," ",-,$0.00,$0.00,0.06%,$20.04,-,-
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",1,$5.15," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$3.09," "," "," "," "," "," "
,Meal (custom 1) - Single Size,$39.99,$39.99,1,0," "," ",-,$0.00,$0.00,0.06%,$39.99,-,-
,Anthony's Classic Hero Sub - Single Size,$39.96,$39.96,4,0," "," ",-,$0.00,$0.00,0.06%,$9.99,-,-
,Custom Antipasto Salad - Small,$39.96,$39.96,4,0," "," ",-,$0.00,$0.00,0.06%,$9.99,-,-
,Custom Lunch Fettuccine Alfredo - Single Size,$39.96,$39.96,4,0," "," ",-,$0.00,$0.00,0.06%,$9.99,-,-
,"Hawaiian - Large 16"" -  Regular Crust",$39.96,$39.96,2,0," "," ",-,$0.00,$0.00,0.06%,$19.98,-,-
,Meatball Parmigiana Sub (custom 1) - Single Size,$49.95,$39.96,5,1," "," ",-,$0.00,-$9.99,0.06%,$9.99,-,-
,"Sicilian Deep Dish - Large 16"" - Deep Dish",$39.96,$39.96,2,0," "," ",-,$0.00,$0.00,0.06%,$19.98,-,-
,Lunch Fettuccine Alfredo,$39.95,$39.95,3,0," "," ",-,$0.00,$0.00,0.06%,$13.32,-,-
,," "," "," "," ",Alfredo Sauce,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,1,$2.99," "," "," "," "," "," "
,," "," "," "," ",Fettucini,3,$0.00," "," "," "," "," "," "
,Custom 2 Slices & Can Soda - Single Size,$39.88,$39.88,4,0," "," ",-,$0.00,$0.00,0.06%,$9.97,-,-
,"Custom Cheese Pizza - Large 16"" - Crispy and Well Done",$39.14,$39.14,2,0," "," ",-,$0.00,$0.00,0.06%,$19.57,-,-
,"MYOP 2 - Large 16"" -  Regular Crust",$39.14,$39.14,2,0," "," ",-,$0.00,$0.00,0.06%,$19.57,-,-
,"Pepperoni Pizza (custom 1) - Large 16"" -  Crispy and Well Done",$39.14,$39.14,2,0," "," ",-,$0.00,$0.00,0.06%,$19.57,-,-
,"Pepperoni Pizza (custom 1) - Large 16"" - Regular Crust ",$39.14,$39.14,2,0," "," ",-,$0.00,$0.00,0.06%,$19.57,-,-
,Calzone Buffalo Chicken - Small,$38.97,$38.97,3,0," "," ",-,$0.00,$0.00,0.06%,$12.99,-,-
,Lunch Fettuccine Alfredo,$38.95,$38.95,3,0," "," ",-,$0.00,$0.00,0.06%,$12.98,-,-
,," "," "," "," ",Chicken and Broccoli,2,$5.98," "," "," "," "," "," "
,," "," "," "," ",Fettucini,3,$0.00," "," "," "," "," "," "
,"(H&H)Pepperoni Pizza-Cheese Pizza - Extra Large 18"" - Regular Crust",$40.96,$38.91,2,0," "," ",-,-$2.05,$0.00,0.06%,$19.46,-,-
,Custom Calzone Cheese - Small,$38.91,$38.91,3,0," "," ",-,$0.00,$0.00,0.06%,$12.97,-,-
,"Custom Cheese Pizza - Large 16"" - Regular Crust",$38.54,$38.54,2,0," "," ",-,$0.00,$0.00,0.06%,$19.27,-,-
,Antipasto Salad,$38.46,$38.46,3,0," "," ",-,$0.00,$0.00,0.06%,$12.82,-,-
,," "," "," "," ",Mozzarella Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Provolone,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",House Vinagrete,4,$1.00," "," "," "," "," "," "
,," "," "," "," ",Bacon,2,$0.99," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Salami,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sausage,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Capicoola,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ham,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,," "," "," "," ",Small,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,2,$0.75," "," "," "," "," "," "
,," "," "," "," ",Basil,1,$0.75," "," "," "," "," "," "
,," "," "," "," ",Black Olives,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Green Peppers,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Tomatoes,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Jalapeno,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Banana Peppers,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lettuce,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Shredded Carrots,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Red Onions,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cucumbers,3,$0.00," "," "," "," "," "," "
,"MYOP 1 - Extra Large 18"" -  Crispy and Well Done",$38.42,$38.42,1,0," "," ",-,$0.00,$0.00,0.06%,$38.42,-,-
,Custom Garden Salad  - Small,$45.00,$37.50,6,0," "," ",-,-$7.50,$0.00,0.06%,$6.25,-,-
,Chicken Parmigiana,$37.05,$37.05,2,0," "," ",-,$0.00,$0.00,0.06%,$18.53,-,-
,," "," "," "," ",Meat Sauce,1,$2.89," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,2,$0.18," "," "," "," "," "," "
,Chicken Chunks (custom 1) - 3 Pounds,$36.99,$36.99,1,0," "," ",-,$0.00,$0.00,0.06%,$36.99,-,-
,Custom Pasta with Marinara - Single Size,$39.96,$36.96,4,0," "," ",-,-$3.00,$0.00,0.06%,$9.24,-,-
,"Custom Cheese Pizza - Medium 14"" - Regular Crust",$36.94,$36.94,2,0," "," ",-,$0.00,$0.00,0.06%,$18.47,-,-
,"MYOP 1 - Extra Large 18"" -  Garlic Butter on Crust",$36.93,$36.93,1,0," "," ",-,$0.00,$0.00,0.06%,$36.93,-,-
,"Custom Cheese Pizza - Small 12"" - Regular Crust",$36.90,$36.90,2,0," "," ",-,$0.00,$0.00,0.06%,$18.45,-,-
,Cheesesteak Sub,$36.86,$36.86,3,0," "," ",-,$0.00,$0.00,0.06%,$12.29,-,-
,," "," "," "," ",Extra Cheese,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Philly Steak,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mayonese,3,$3.00," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Green Peppers,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,1,$0.00," "," "," "," "," "," "
,Penne Al A Vodka,$36.77,$36.77,2,0," "," ",-,$0.00,$0.00,0.06%,$18.39,-,-
,," "," "," "," ",Alfredo Sauce,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Chicken,2,$5.00," "," "," "," "," "," "
,," "," "," "," ",Penne,2,$0.00," "," "," "," "," "," "
,"(H&H) Cheese Pizza-Pepperoni Pizza - Large 16"" -  Garlic Butter on Crust",$36.56,$36.56,2,0," "," ",-,$0.00,$0.00,0.06%,$18.28,-,-
,"(H&H)Cheese Pizza-Pepperoni Pizza - Large 16"" - Regular Crust",$36.56,$36.56,2,0," "," ",-,$0.00,$0.00,0.06%,$18.28,-,-
,Small Cheese Calzone,$36.54,$36.54,3,0," "," ",-,$0.00,$0.00,0.06%,$12.18,-,-
,," "," "," "," ",Ham,1,$1.19," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,2,$2.38," "," "," "," "," "," "
,Garlic Knots (6 Pieces),$36.45,$36.45,5,0," "," ",-,$0.00,$0.00,0.05%,$7.29,-,-
,Lasagna,$36.36,$36.36,2,0," "," ",-,$0.00,$0.00,0.05%,$18.18,-,-
,," "," "," "," ",Caesar Salad,1,$3.19," "," "," "," "," "," "
,," "," "," "," ",House Salad with House Vinaigrette,1,$3.19," "," "," "," "," "," "
,Belgium Chocolate Mouse Cake,$44.01,$36.24,9,0," "," ",-,-$7.77,$0.00,0.05%,$4.03,-,-
,Custom Chicken Chunks - 3 Pounds,$35.99,$35.99,1,0," "," ",-,$0.00,$0.00,0.05%,$35.99,-,-
,Tour of Italy - Single Size,$35.98,$35.98,2,0," "," ",-,$0.00,$0.00,0.05%,$17.99,-,-
,Bruschetta,$35.97,$35.97,3,0," "," ",-,$0.00,$0.00,0.05%,$11.99,-,-
,Pasta with Meatballs (custom 1) - Single Size,$35.97,$35.97,3,0," "," ",-,$0.00,$0.00,0.05%,$11.99,-,-
,"Bianca White Pie - Large 16"" - Regular Crust",$35.96,$35.96,2,0," "," ",-,$0.00,$0.00,0.05%,$17.98,-,-
,Custom Shrimp Scampi - Single Size,$53.94,$35.96,3,1," "," ",-,$0.00,-$17.98,0.05%,$17.98,-,-
,"Margherita - Medium 14"" -  Regular Crust",$35.96,$35.96,2,0," "," ",-,$0.00,$0.00,0.05%,$17.98,-,-
,Mozzarella Sticks,$35.96,$35.96,4,0," "," ",-,$0.00,$0.00,0.05%,$8.99,-,-
,Cheese Pizza,$35.40,$35.40,3,0," "," ",-,$0.00,$0.00,0.05%,$11.80,-,-
,"Custom Cheese Pizza - Large 16"" - Thin Crust",$39.14,$35.23,2,0," "," ",-,-$3.91,$0.00,0.05%,$17.62,-,-
,Child Spageti w/ Meat Sauce,$34.96,$34.96,4,0," "," ",-,$0.00,$0.00,0.05%,$8.74,-,-
,Spaghetti Carbonara,$34.84,$34.84,2,0," "," ",-,$0.00,$0.00,0.05%,$17.42,-,-
,," "," "," "," ",Chicken,2,$5.00," "," "," "," "," "," "
,," "," "," "," ",Fettucini,2,$0.00," "," "," "," "," "," "
,Buffalo Chicken Pizza,$41.12,$34.70,2,0," "," ",-,-$6.42,$0.00,0.05%,$17.35,-,-
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",1,$5.15," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$3.09," "," "," "," "," "," "
,Custom Calzone Cheese - Large,$34.46,$34.46,2,0," "," ",-,$0.00,$0.00,0.05%,$17.23,-,-
,Hawaiian,$34.46,$34.46,2,0," "," ",-,$0.00,$0.00,0.05%,$17.23,-,-
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Large 16""",1,$3.71," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",1,$1.23," "," "," "," "," "," "
,Carrot Cake,$34.32,$34.32,8,0," "," ",-,$0.00,$0.00,0.05%,$4.29,-,-
,Belgium Chocolate Mouse Cake,$34.16,$34.16,7,0," "," ",-,$0.00,$0.00,0.05%,$4.88,-,-
,Custom Caesar Salad - Large,$34.00,$34.00,4,0," "," ",-,$0.00,$0.00,0.05%,$8.50,-,-
,Calzone Philly Cheesesteak (custom 1) - Large,$33.96,$33.96,2,0," "," ",-,$0.00,$0.00,0.05%,$16.98,-,-
,Calzone Philly Cheesesteak - Large,$33.96,$33.96,2,0," "," ",-,$0.00,$0.00,0.05%,$16.98,-,-
,"Custom Cheese Pizza - Large 16"" - Garlic Butter on Crust",$33.96,$33.96,2,0," "," ",-,$0.00,$0.00,0.05%,$16.98,-,-
,"Extravaganza Supreme - Personal 10"" -  Regular Crust",$33.96,$33.96,2,0," "," ",-,$0.00,$0.00,0.05%,$16.98,-,-
,"Meat Lovers - Personal 10"" -  Regular Crust",$33.96,$33.96,2,0," "," ",-,$0.00,$0.00,0.05%,$16.98,-,-
,Custom Chicken Marsala - Single Size,$33.90,$33.90,2,0," "," ",-,$0.00,$0.00,0.05%,$16.95,-,-
,Garlic Knots 2 Single pcs,$40.90,$33.20,10,0," "," ",-,-$7.70,$0.00,0.05%,$3.32,-,-
,," "," "," "," ",Plain,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Cheese,6,$6.00," "," "," "," "," "," "
,Small Calzone Anthony's,$33.07,$33.07,2,0," "," ",-,$0.00,$0.00,0.05%,$16.54,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,," "," "," "," ",Small,1,$0.00," "," "," "," "," "," "
,Small Calzone Buffalo Chicken,$33.07,$33.07,2,0," "," ",-,$0.00,$0.00,0.05%,$16.54,-,-
,," "," "," "," ",Large,1,$3.09," "," "," "," "," "," "
,," "," "," "," ",Small,1,$0.00," "," "," "," "," "," "
,Employee Soda,$33.48,$32.98,36,0," "," ",-,-$0.50,$0.00,0.05%,$0.92,$0.00,$32.27
,," "," "," "," ",Diet Pepsi,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Diet Sprite,1,$0.00," "," "," "," "," "," "
,Custom Greek Salad - Large,$32.97,$32.97,3,0," "," ",-,$0.00,$0.00,0.05%,$10.99,-,-
,Pasta with Meat Sauce,$32.97,$32.97,3,0," "," ",-,$0.00,$0.00,0.05%,$10.99,-,-
,," "," "," "," ",Spaghetti,3,$0.00," "," "," "," "," "," "
,Small Garden Salad,$36.46,$32.94,4,0," "," ",-,-$3.52,$0.00,0.05%,$8.24,-,-
,," "," "," "," ",House Vinagrete,2,$1.00," "," "," "," "," "," "
,," "," "," "," ",Italian,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Grilled Chicken,1,$2.00," "," "," "," "," "," "
,," "," "," "," ",Small,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Fresh Spinach,2,$0.75," "," "," "," "," "," "
,," "," "," "," ",Broccooli,1,$0.75," "," "," "," "," "," "
,," "," "," "," ",Green Peppers,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Tomatoes,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Black Olives,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Lettuce,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Red Onions,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Shredded Carrots,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Cucumbers,2,$0.00," "," "," "," "," "," "
,Margherita,$32.88,$32.88,2,0," "," ",-,$0.00,$0.00,0.05%,$16.44,-,-
,," "," "," "," ","Medium 14""",2,$3.10," "," "," "," "," "," "
,"Pepperoni Pizza - Personal 10"" - Regular Crust",$32.67,$32.67,3,0," "," ",-,$0.00,$0.00,0.05%,$10.89,-,-
,Sliders - Plain,$32.50,$32.50,5,0," "," ",-,$0.00,$0.00,0.05%,$6.50,-,-
,Tiramissu - Single Size,$33.00,$32.49,6,0," "," ",-,-$0.51,$0.00,0.05%,$5.41,-,-
,"1 Slice, Salad & Soda",$32.20,$32.20,3,0," "," ",-,$0.00,$0.00,0.05%,$10.73,-,-
,," "," "," "," ",Extra Cheese,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Ranch,1,$1.00," "," "," "," "," "," "
,," "," "," "," ",Root Beer,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sunkirst Orange,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,1,$0.99," "," "," "," "," "," "
,," "," "," "," ",Garden Salad,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Fresh Spinach,1,$0.75," "," "," "," "," "," "
,," "," "," "," ",Black Olives,1,$0.75," "," "," "," "," "," "
,," "," "," "," ",Mushrooms,1,$0.75," "," "," "," "," "," "
