Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Lasagne - Single Size,$377.73,$377.73,27,0," "," ",-,$0.00,$0.00,0.57%,$13.99,-,-
,Custom Wings - 20 Pieces,$376.87,$376.87,13,0," "," ",-,$0.00,$0.00,0.57%,$28.99,-,-
,Lunch Fettuccine Alfredo,$388.08,$333.58,29,0," "," ",-,-$54.50,$0.00,0.50%,$11.50,-,-
,," "," "," "," ",Alfredo Sauce,4,$15.96," "," "," "," "," "," "
,," "," "," "," ",Chicken,11,$27.50," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,8,$23.92," "," "," "," "," "," "
,," "," "," "," ",Broccoli,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Fettucini,26,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,1,$0.00," "," "," "," "," "," "
,Convenience Fee,$325.50,$322.50,217,2," "," ",-,$0.00,-$3.00,0.49%,$1.50,-,-
,Custom Wings - 30 Pieces,$319.92,$319.92,8,0," "," ",-,$0.00,$0.00,0.48%,$39.99,-,-
,Custom 2 Slice and 1 Can of Soda - Single Size,$313.95,$313.95,35,0," "," ",-,$0.00,$0.00,0.47%,$8.97,-,-
,"Pepperoni Pizza - Large 16"" -  Regular Crust",$293.55,$293.55,15,0," "," ",-,$0.00,$0.00,0.44%,$19.57,-,-
,Chicken Parmigiana - Single Size,$287.82,$287.82,18,0," "," ",-,$0.00,$0.00,0.43%,$15.99,-,-
,Chicken Parmigiana,$286.58,$286.58,19,0," "," ",-,$0.00,$0.00,0.43%,$15.08,-,-
,," "," "," "," ",Chicken,2,$5.00," "," "," "," "," "," "
,," "," "," "," ",Fettucini,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,3,$0.00," "," "," "," "," "," "
,10 Wings,$314.63,$283.69,17,0," "," ",-,-$30.94,$0.00,0.43%,$16.69,-,-
,," "," "," "," ",Asian Chili,5,$0.00," "," "," "," "," "," "
,," "," "," "," ",BBQ,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Buffalo Garlic,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Garlic Parmesan,6,$2.00," "," "," "," "," "," "
,," "," "," "," ",Honey Mustard,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Hot or Buffalo,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Medium,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",NO SAUCE - PLAIN,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Blue Cheese,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Caesar,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Dressing,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ranch,15,$3.00," "," "," "," "," "," "
,," "," "," "," ",10 Pieces,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",20 Pieces,2,$17.80," "," "," "," "," "," "
,," "," "," "," ",30 Pieces,1,$20.00," "," "," "," "," "," "
,6pcs Mozzarella Sticks - Single Size,$279.60,$279.60,40,0," "," ",-,$0.00,$0.00,0.42%,$6.99,-,-
,Tour of Italy,$319.63,$277.75,18,0," "," ",-,-$41.88,$0.00,0.42%,$15.43,-,-
,," "," "," "," ",Alfredo Sauce,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Meat Sauce,3,$7.50," "," "," "," "," "," "
,," "," "," "," ",Chicken,1,$2.50," "," "," "," "," "," "
,Garlic Knots - Plain,$279.44,$275.65,56,0," "," ",-,-$3.79,$0.00,0.42%,$4.92,-,-
,Lunch Fettuccine Alfredo,$266.18,$266.18,19,0," "," ",-,$0.00,$0.00,0.40%,$14.01,-,-
,," "," "," "," ",Broccoli,3,$5.97," "," "," "," "," "," "
,," "," "," "," ",Chicken,7,$17.50," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,6,$17.94," "," "," "," "," "," "
,," "," "," "," ",Alfredo Sauce,4,$15.96," "," "," "," "," "," "
,," "," "," "," ",Fettucini,18,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,1,$0.00," "," "," "," "," "," "
,Lasagne,$279.05,$258.99,21,0," "," ",-,-$20.06,$0.00,0.39%,$12.33,-,-
,," "," "," "," ",Alfredo Sauce,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Meat Sauce,2,$5.00," "," "," "," "," "," "
