Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:29 AM"
Filters: Item Type = Revenue Items

Items: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$428,973.00"
Net Sales,"$426,703.17"
COGS,"$14,420.34"
Gross Profit,"$403,932.21"
Gross Profit Margin,94.66%

Name,Gross Sales,Net Sales,Sold,Refunded,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
WHITEHAVEN SAUVIGNON BLANC 750ML,"$1,595.16","$1,595.16",84,0,$0.00,$0.00,$0.00,0.37%,$18.99,$0.00,"$1,595.16"
Custom Sub Deli,"$1,599.20","$1,594.20",80,0,-$5.00,$0.00,$0.00,0.37%,$19.93,$0.00,"$1,594.20"
PAPAS PILAR DARK RUM 750ML,"$1,549.69","$1,549.69",31,0,$0.00,$0.00,$0.00,0.36%,$49.99,$0.00,"$1,549.69"
Ultimate Sub,"$1,539.23","$1,529.23",77,0,-$10.00,$0.00,$0.00,0.36%,$19.86,$0.00,"$1,529.23"
1800 Tequila Blanco 1L,"$1,519.62","$1,515.62",38,0,-$4.00,$0.00,$0.00,0.36%,$39.88,"$1,519.62",-$4.00
LALO BLANCO TEQUILA 750ml,"$1,499.70","$1,499.70",30,0,$0.00,$0.00,$0.00,0.35%,$49.99,"$1,080.00",$419.70
3BOTTLE SALE SONOMA CUTRER CARDONNAY,"$1,479.26","$1,479.26",74,0,$0.00,$0.00,$0.00,0.35%,$19.99,$0.00,"$1,479.26"
Ham Sub,"$1,471.08","$1,471.08",92,0,$0.00,$0.00,$0.00,0.34%,$15.99,$0.00,"$1,471.08"
Patrón Sliver 750ml Box,"$1,439.76","$1,439.76",24,0,$0.00,$0.00,$0.00,0.34%,$59.99,$0.00,"$1,439.76"
ITALIAN PRESS HOT OR COLD ITALIAN PRESS HOT OR COLD,"$1,439.20","$1,434.70",80,0,-$4.50,$0.00,$0.00,0.34%,$17.93,$0.00,"$1,434.70"
MALIBU COCONUT RUM 750ML GLASS,"$1,430.47","$1,430.47",53,0,$0.00,$0.00,$0.00,0.34%,$26.99,$0.00,"$1,430.47"
MOET & CHANDON ICE IMPERIAL RESERVE 750mL,"$1,424.81","$1,400.32",19,0,-$24.49,$0.00,$0.00,0.33%,$73.70,$0.00,"$1,400.32"
QUILT NAPA VALLEY CABERNET SAUVIGNON 750ML,"$1,559.61","$1,379.61",39,0,-$180.00,$0.00,$0.00,0.32%,$35.37,$0.00,"$1,379.61"
CONUNDRUM CALIFORNIA RED BLEND 750ML,"$1,376.19","$1,376.19",81,0,$0.00,$0.00,$0.00,0.32%,$16.99,$0.00,"$1,376.19"
LAMARCA Prosecco 750 ML,"$1,359.20","$1,345.50",80,0,-$13.70,$0.00,$0.00,0.32%,$16.82,$0.00,"$1,345.50"
Casamigos Tequila Blanco 1.75L,"$1,330.89","$1,330.89",11,0,$0.00,$0.00,$0.00,0.31%,$120.99,$0.00,"$1,330.89"
BELLE GLOS PINOT NOIR CLARK & TELEPHONE 750ML,"$1,319.67","$1,319.67",33,0,$0.00,$0.00,$0.00,0.31%,$39.99,$0.00,"$1,319.67"
RON ZACAPA CENTENARIO SISTEMA NO.23 750ML,"$1,259.79","$1,259.79",21,0,$0.00,$0.00,$0.00,0.30%,$59.99,$0.00,"$1,259.79"
ROMBAUER VINEYARDS CHARDONNAY,"$1,259.72","$1,259.72",28,0,$0.00,$0.00,$0.00,0.30%,$44.99,$0.00,"$1,259.72"
CROWN ROYAL BLACKBERRY WHISKY 750ML,"$1,249.75","$1,249.75",25,0,$0.00,$0.00,$0.00,0.29%,$49.99,$512.50,$737.25
HIGH NOON BEACH PACK 12,"$1,241.54","$1,241.54",46,0,$0.00,$0.00,$0.00,0.29%,$26.99,$0.00,"$1,241.54"
Tito's Handmade Vodka 375ml,"$1,239.38","$1,239.38",62,0,$0.00,$0.00,$0.00,0.29%,$19.99,$0.00,"$1,239.38"
Key Lime Pie Mini,"$1,236.04","$1,236.04",196,0,$0.00,$0.00,$0.00,0.29%,$6.31,$0.00,"$1,236.04"
CLUB SUB DELI,"$1,240.27","$1,236.02",73,0,-$4.25,$0.00,$0.00,0.29%,$16.93,$0.00,"$1,236.02"
AUSTIN HOPE PASO ROBLE CABERNET SAUVIGNON 750ML,"$1,199.76","$1,199.76",24,0,$0.00,$0.00,$0.00,0.28%,$49.99,$0.00,"$1,199.76"
THE PRISONER RED TABLE WINE WINE-DOMESTIC .750L THE PRISONER RED TABLE WINE WINE-DOMESTIC .750L,"$1,599.68","$1,197.70",32,0,-$401.98,$59.98,-$59.98,0.28%,$37.43,$0.00,"$1,197.70"
PATRON SILVER TEQUILA 1.75L,"$1,169.91","$1,169.91",9,0,$0.00,$0.00,$0.00,0.27%,$129.99,$0.00,"$1,169.91"
HIGH NOON VARIETY VODKA HARD SELTZER 12PK,"$1,160.57","$1,160.57",43,0,$0.00,$0.00,$0.00,0.27%,$26.99,$0.00,"$1,160.57"
MILLER LITE 12 PACK CANS,"$1,139.43","$1,139.43",57,0,$0.00,$0.00,$0.00,0.27%,$19.99,$0.00,"$1,139.43"
Don Julio 1942 Tequila Añejo 50ml,"$1,119.44","$1,119.44",56,0,$0.00,$0.00,$0.00,0.26%,$19.99,$0.00,"$1,119.44"
BLT SANDWICH,"$1,114.76","$1,114.76",124,0,$0.00,$0.00,$0.00,0.26%,$8.99,$0.00,"$1,114.76"
COORS LIGHT 12PACK CANS,"$1,119.44","$1,113.44",56,0,-$6.00,$0.00,$0.00,0.26%,$19.88,$0.00,"$1,113.44"
FILET MIGNON 8oz,"$1,110.00","$1,110.00",30,0,$0.00,$0.00,$0.00,0.26%,$37.00,$0.00,"$1,110.00"
HAVANA SUB DELI,"$1,097.39","$1,097.39",61,0,$0.00,$0.00,$0.00,0.26%,$17.99,$0.00,"$1,097.39"
MODELO ESPECIAL 12PK CANS MODELO ESPECIAL 12PK BEER 12 pa,"$1,079.55","$1,079.55",45,0,$0.00,$0.00,$0.00,0.25%,$23.99,$0.00,"$1,079.55"
Moët & Chandon Impérial Brut 750mL,"$1,049.79","$1,049.79",21,0,$0.00,$0.00,$0.00,0.25%,$49.99,$0.00,"$1,049.79"
ADICTIVO TEQUILA REPOSADO 750ML,"$1,049.85","$1,042.85",15,0,-$7.00,$0.00,$0.00,0.24%,$69.52,$0.00,"$1,042.85"
TEREMANA BLANCO TEQUILA 750 m TEREMANA BLANCO TEQUILA 750 m,"$1,039.74","$1,039.74",26,0,$0.00,$0.00,$0.00,0.24%,$39.99,-,-
ALEC BRADLEY PRENSADO CIGAR,"$1,008.00","$1,008.00",63,0,$0.00,$0.00,$0.00,0.24%,$16.00,$0.00,"$1,008.00"
3BOTTLE SALE LA MARCA PROSECCO,"$1,004.33","$1,004.33",67,0,$0.00,$0.00,$0.00,0.24%,$14.99,$0.00,"$1,004.33"
Emmolo Merlot 750mL,$989.67,$989.67,33,0,$0.00,$0.00,$0.00,0.23%,$29.99,$0.00,$989.67
CORONA EXTR 12 PACK BEER CORONA EXTR 12 PACK BEER .100L,$989.55,$989.55,45,0,$0.00,$0.00,$0.00,0.23%,$21.99,$0.00,$989.55
Grey Goose Vodka 750ml,$987.74,$987.74,26,0,$0.00,$0.00,$0.00,0.23%,$37.99,$0.00,$987.74
BLT SUB,$967.12,$967.12,88,0,$0.00,$0.00,$0.00,0.23%,$10.99,$0.00,$967.12
VEUVE CLICQUOT CHAMPAGNE ROSE CHAMPAGNE VEUVE CLICQUOT CHAMPAGNE ROSE CHAMPAGNE,$959.88,$959.88,12,0,$0.00,$0.00,$0.00,0.22%,$79.99,$0.00,$959.88
Grey Goose Vodka 1 Liter,$959.76,$959.76,24,0,$0.00,$0.00,$0.00,0.22%,$39.99,$0.00,$959.76
TUNA SUB DELI,$959.40,$959.40,60,0,$0.00,$0.00,$0.00,0.22%,$15.99,$0.00,$959.40
ADICTIVO TEQUILA AÑEJO 750ML,$959.88,$951.88,12,0,-$8.00,$0.00,$0.00,0.22%,$79.32,$0.00,$951.88
KETEL ONE  VODKA 1.75L KETEL ONE  VODKA-IMPORTED .100L,$949.81,$949.81,19,0,$0.00,$0.00,$0.00,0.22%,$49.99,$0.00,$949.81
Bailey's The Original Irish Cream 750ml,$909.74,$909.74,26,0,$0.00,$0.00,$0.00,0.21%,$34.99,$0.00,$909.74
GRAN CORAMINO TEQUILA REPOSADO 750ML,$909.71,$909.71,29,0,$0.00,$0.00,$0.00,0.21%,$31.37,$0.00,$909.71
