Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:29 AM"
Filters: Item Type = Revenue Items

Items: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$428,973.00"
Net Sales,"$426,703.17"
COGS,"$14,420.34"
Gross Profit,"$403,932.21"
Gross Profit Margin,94.66%

Name,Gross Sales,Net Sales,Sold,Refunded,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
FLOR DE CANA DARK 4YR RUM 750ML,$219.90,$219.90,10,0,$0.00,$0.00,$0.00,0.05%,$21.99,$0.00,$219.90
ISLAMORADA ALE ISLAND CITRUS BOTTLES 6PK,$219.89,$219.89,11,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$219.89
STOLICHNAYA BLUEBERRY VODKA,$219.89,$219.89,11,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$219.89
Gold Peak Sweet Tea,$216.96,$216.96,64,0,$0.00,$0.00,$0.00,0.05%,$3.39,$0.00,$216.96
DECOY SAUVIGNON BLANC 750ML,$215.88,$215.88,12,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$215.88
EAGLE RARE BOURBON WHISKEY WHIS-TENNESSEE .750L EAGLE RARE BOURBON WHISKEY WHIS-TENNESSEE .750L,$215.00,$215.00,2,0,$0.00,$0.00,$0.00,0.05%,$107.50,$0.00,$215.00
ANGRY ORCHARD CRISP APPLE 6PK BOTTLE  CIDER,$233.87,$214.08,13,1,-$1.80,$0.00,-$17.99,0.05%,$17.84,$0.00,$214.08
Pink Whitney,$211.47,$211.47,53,0,$0.00,$0.00,$0.00,0.05%,$3.99,$0.00,$211.47
CODIGO 1530 TEQUILA ROSA 1L,$209.97,$209.97,3,0,$0.00,$0.00,$0.00,0.05%,$69.99,$0.00,$209.97
GLENLIVET 14 YEAR OLD WHIS-SCOTCH 750mL GLENLIVET 18 YEAR OLD WHIS-SCOTCH 0.75,$209.97,$209.97,3,0,$0.00,$0.00,$0.00,0.05%,$69.99,$139.98,$69.99
MILAGRO REPOSADO TEQUILA 1.75 MILAGRO REPOSADO TEQUILA 1.75,$209.97,$209.97,3,0,$0.00,$0.00,$0.00,0.05%,$69.99,$0.00,$209.97
CAPTAIN MORGAN PRIVATE STOCK 750ML,$209.94,$209.94,6,0,$0.00,$0.00,$0.00,0.05%,$34.99,$0.00,$209.94
GRAND MARNIER  LIQUEUR 375ML GRAND MARNIER  375,$209.94,$209.94,6,0,$0.00,$0.00,$0.00,0.05%,$34.99,$0.00,$209.94
MI CAMPO TEQUILA REPOSADO 1Liter,$209.94,$209.94,6,0,$0.00,$0.00,$0.00,0.05%,$34.99,$0.00,$209.94
CLOUDY BAY SAUVIGNON BLANC 750ML,$209.93,$209.93,7,0,$0.00,$0.00,$0.00,0.05%,$29.99,$0.00,$209.93
SIESTA KEY TOASTED COCONUT RUM 750ML,$209.93,$209.93,7,0,$0.00,$0.00,$0.00,0.05%,$29.99,$0.00,$209.93
ST~GERMAIN LIQUEUR 375ML,$209.93,$209.93,7,0,$0.00,$0.00,$0.00,0.05%,$29.99,$0.00,$209.93
TRADERS VIC'S SILVER RUM 1.75L,$209.93,$209.93,7,0,$0.00,$0.00,$0.00,0.05%,$29.99,$0.00,$209.93
KENDALL JACKSON CHARDONNAY 750ML KENDALL JACKSON CHARDONNAY WINE-DOMESTIC .100L,$209.86,$209.86,14,0,$0.00,$0.00,$0.00,0.05%,$14.99,-,-
NURTL ORANGE 4PACK CANS,$209.86,$209.86,14,0,$0.00,$0.00,$0.00,0.05%,$14.99,$0.00,$209.86
Benchmark 375ml,$209.58,$209.58,42,0,$0.00,$0.00,$0.00,0.05%,$4.99,$0.00,$209.58
DEKUYPER PEACHTREE LIQUEUR 750ML,$208.89,$208.89,11,0,$0.00,$0.00,$0.00,0.05%,$18.99,$0.00,$208.89
SMIRNOFF ICE ORIGINAL  6PACK  SMIRNOFF ICE LIQUOR-MISC .100L,$208.89,$208.89,11,0,$0.00,$0.00,$0.00,0.05%,$18.99,$106.26,$102.63
SYLTBAR IL CONCERTO ROSE BRUT SPARKLING WINE 750ML,$208.89,$208.89,11,0,$0.00,$0.00,$0.00,0.05%,$18.99,$0.00,$208.89
CORONA 6-PACK BEER CORONA 6-PACK BEER .100L,$205.88,$205.88,12,0,$0.00,$0.00,$0.00,0.05%,$17.16,$0.00,$205.88
PARTAGAS 1845 TORO CIGARS,$204.00,$204.00,15,0,$0.00,$0.00,$0.00,0.05%,$13.60,$0.00,$204.00
ATHLETIC RUN WILD IPA NON ALCOHOLIC 6PACK CANS,$203.88,$203.88,12,0,$0.00,$0.00,$0.00,0.05%,$16.99,$0.00,$203.88
BLUE CHAIR BAY KEY LIME RUM CREAM 1L,$201.93,$201.93,7,0,$0.00,$0.00,$0.00,0.05%,$28.85,$0.00,$201.93
Espresso Coffee,$201.00,$201.00,134,0,$0.00,$0.00,$0.00,0.05%,$1.50,$0.00,$201.00
DEEP EDDY RUBY RED VODKA 750Ml DEEP EDDY RUBY RED VODKA-AMERICAN 1.0L,$200.93,$200.93,7,0,$0.00,$0.00,$0.00,0.05%,$28.70,$0.00,$200.93
BILLECART-SALMON LE ROSE 1.75L,$199.99,$199.99,1,0,$0.00,$0.00,$0.00,0.05%,$199.99,$0.00,$199.99
Crown Royal 18 Years Extra Rare 750ml,$199.99,$199.99,1,0,$0.00,$0.00,$0.00,0.05%,$199.99,$0.00,$199.99
Perrier-Jouet Belle Epoque Champagne 2015,$199.99,$199.99,1,0,$0.00,$0.00,$0.00,0.05%,$199.99,$0.00,$199.99
Jack Daniels 10 Years,$199.98,$199.98,2,0,$0.00,$0.00,$0.00,0.05%,$99.99,$0.00,$199.98
THE GLENLIVET FUSION CASK 750ML,$199.98,$199.98,2,0,$0.00,$0.00,$0.00,0.05%,$99.99,$0.00,$199.98
CAYMUS VINEYARDS  CALIFORNIA CABERNET SAUVIGNON 750ML,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,$0.00,$199.96
EL JIMADOR SILVER TEQUILA 1.75L,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,$0.00,$199.96
FAUST CAB SAUVIG WINE-DOMESTIC .100L FAUST CAB SAUVIG WINE-DOMESTIC .100L,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,-,-
MYERS RUM ORIGINAL DARK 1.75L,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,$0.00,$199.96
PATRON XO CAFE 750ML,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,$0.00,$199.96
POGGIO DEL PINO BRUNELLO DI MONTALCINO 750ML,$199.96,$199.96,4,0,$0.00,$0.00,$0.00,0.05%,$49.99,$0.00,$199.96
Hijos De Villa Tequila Reposado,$199.95,$199.95,5,0,$0.00,$0.00,$0.00,0.05%,$39.99,$0.00,$199.95
Angostura Aromatic Bitters 200mL,$199.92,$199.92,8,0,$0.00,$0.00,$0.00,0.05%,$24.99,$0.00,$199.92
Black Cooler With Ice,$199.92,$199.92,8,0,$0.00,$0.00,$0.00,0.05%,$24.99,$0.00,$199.92
Devils River Bourbon Whiskey Gift Pack,$199.92,$199.92,8,0,$0.00,$0.00,$0.00,0.05%,$24.99,$0.00,$199.92
HOP THE WAVE RASPBERRY ICED TEA THC CBD 4PACK CANS,$199.92,$199.92,8,0,$0.00,$0.00,$0.00,0.05%,$24.99,$0.00,$199.92
STOLICHNAYA VODKA 750ML STOLICHNAYA PREMIUM VODKA VODKA-IMPORTED .750L,$199.92,$199.92,8,0,$0.00,$0.00,$0.00,0.05%,$24.99,$0.00,$199.92
ISLAMORADA CHANNEL MARKER IPA BOTTLES 6PK,$199.90,$199.90,10,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$199.90
ISLAMORADA GO FISH AMERICAN LAGER CANS 6PK,$199.90,$199.90,10,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$199.90
Key West Trading Rum 375 Ml,$199.90,$199.90,10,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$199.90
Parrot Bay Key Lime Rum Glass Bottle 750ml,$199.90,$199.90,10,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$199.90
SAILOR JERRY SPICED RUM 750ML,$199.90,$199.90,10,0,$0.00,$0.00,$0.00,0.05%,$19.99,$0.00,$199.90
GLENMORANGIE A TALE OF THE FOREST LIMITD EDITION 750ML,$197.98,$197.98,2,0,$0.00,$0.00,$0.00,0.05%,$98.99,$0.00,$197.98
CORONA LIGHT 12 PACK BEER CORONA LIGHT 12 PACK BEER .100L,$197.91,$197.91,9,0,$0.00,$0.00,$0.00,0.05%,$21.99,$0.00,$197.91
Chi-Chis Mexican Mudslide 1.75L,$197.91,$197.91,9,0,$0.00,$0.00,$0.00,0.05%,$21.99,$0.00,$197.91
Chi-Chis Orange Cream 1.75L,$197.91,$197.91,9,0,$0.00,$0.00,$0.00,0.05%,$21.99,$0.00,$197.91
BUD LIGHT LIME 6PACK BOTTLES BUD LIGHT LIME BEER .100L,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
DECOY CHARDONNAY 750ML,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
ISLAMORADA SANDBAR SUNDAY BOTTLES 6PK,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
LONG DRINK CRANBERRY 6PACK CANS,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
Syltbar Prosseco Brut 750ML,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
TINAZZI OPERAVINO ROSSO WINE 750ML,$197.89,$197.89,11,0,$0.00,$0.00,$0.00,0.05%,$17.99,$0.00,$197.89
Salami Italian Salami Rolls,$197.78,$196.88,22,0,-$0.90,$0.00,$0.00,0.05%,$8.95,$0.00,$196.88
LEMON FRUIT LEMON FRUIT,$196.00,$196.00,196,0,$0.00,$0.00,$0.00,0.05%,$1.00,$0.00,$196.00
JIM BEAM RED STAG Black Cherry WHISKEY,$195.93,$195.93,7,0,$0.00,$0.00,$0.00,0.05%,$27.99,$0.00,$195.93
Patron Reposado Tequila  750mL,$194.97,$194.97,3,0,$0.00,$0.00,$0.00,0.05%,$64.99,$0.00,$194.97
SVEDKA VODKA 1L,$194.87,$194.87,13,0,$0.00,$0.00,$0.00,0.05%,$14.99,$0.00,$194.87
LA GLORIA CUBANA CLASSIC CIGAR,$194.00,$194.00,14,0,$0.00,$0.00,$0.00,0.05%,$13.86,$0.00,$194.00
HENDRICKS GIN 750ML HENDRICKS GIN GIN-IMPORTED .100L,$191.96,$191.96,4,0,$0.00,$0.00,$0.00,0.04%,$47.99,$0.00,$191.96
JOHNNIE WALKER RED LABEL LIQUOR 1.75L JOHNNIE WALKER RED LABEL LIQUOR-MISC .100L,$191.96,$191.96,4,0,$0.00,$0.00,$0.00,0.04%,$47.99,$0.00,$191.96
Lion Tamer Cabernet Sauvignon 750mL,$191.96,$191.96,4,0,$0.00,$0.00,$0.00,0.04%,$47.99,$0.00,$191.96
Fresh Mozzarella Sub,$191.88,$191.88,12,0,$0.00,$0.00,$0.00,0.04%,$15.99,$0.00,$191.88
99 Banana 50ml,$191.07,$191.07,193,0,$0.00,$0.00,$0.00,0.04%,$0.99,$0.00,$191.07
Smirnoff Mini 50ml,$191.04,$191.04,96,0,$0.00,$0.00,$0.00,0.04%,$1.99,$0.00,$191.04
Dirty Jalapeño Heat Chips,$191.36,$190.61,64,0,-$0.75,$0.00,$0.00,0.04%,$2.98,$0.00,$190.61
MARQUES DE CASA NOBLE TEQUILA 750ML,$189.99,$189.99,1,0,$0.00,$0.00,$0.00,0.04%,$189.99,$0.00,$189.99
MAKERS MARK NO46 FRENCH OAKED 750ML,$199.96,$189.96,4,0,-$10.00,$0.00,$0.00,0.04%,$47.49,$0.00,$189.96
BACARDI BLACK RUM 1.75L,$189.95,$189.95,5,0,$0.00,$0.00,$0.00,0.04%,$37.99,$101.50,$88.45
CAPTAIN MORGAN SILVER SPICED RUM 1.75L,$189.95,$189.95,5,0,$0.00,$0.00,$0.00,0.04%,$37.99,$0.00,$189.95
CHOPIN POTATO VODKA 750ml CHOPIN POTATO VODKA-IMPORTED .100L,$189.95,$189.95,5,0,$0.00,$0.00,$0.00,0.04%,$37.99,$0.00,$189.95
FLOR DE CANA 12YRS OLD RUM 750ML,$189.95,$189.95,5,0,$0.00,$0.00,$0.00,0.04%,$37.99,$0.00,$189.95
STIRRINGS MARGARITA 750ML  STIRRINGS MARGATIA,$189.81,$189.81,19,0,$0.00,$0.00,$0.00,0.04%,$9.99,$0.00,$189.81
COCA COLA 2L,$189.62,$189.62,38,0,$0.00,$0.00,$0.00,0.04%,$4.99,$0.00,$189.62
Custom Item,$189.00,$189.00,27,0,$0.00,$0.00,$0.00,0.04%,$7.00,-,-
BOARS HEAD CHARCUTERIE SNACKS GENOA AND MOZZARELLA,$188.79,$188.79,21,0,$0.00,$0.00,$0.00,0.04%,$8.99,$0.00,$188.79
RED BULL ENERGY DRINK 8.4OZ,$187.53,$187.53,47,0,$0.00,$0.00,$0.00,0.04%,$3.99,$0.00,$187.53
Toki Suntory Whisky,$191.96,$187.16,4,0,-$4.80,$0.00,$0.00,0.04%,$46.79,$191.96,-$4.80
WHITE CLAW NATURAL LIME HARD SELTZER 6PK,$186.89,$186.89,11,0,$0.00,$0.00,$0.00,0.04%,$16.99,$0.00,$186.89
Bacardi Superior White Rum 375ml,$186.83,$186.83,17,0,$0.00,$0.00,$0.00,0.04%,$10.99,$0.00,$186.83
GOSLING GINGER BEER 6PACK,$181.86,$181.86,14,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$181.86
Maraschino Cherries With Stems 8oz,$181.86,$181.86,14,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$181.86
Master Of Mixes Margarita 1.75L,$181.86,$181.86,14,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$181.86
OYSTER BAY SAUVIGNON BLANC 750ML,$181.86,$181.86,14,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$181.86
Moet & Chandon Imperial Brut Champagne 1.5L,$179.99,$179.99,1,0,$0.00,$0.00,$0.00,0.04%,$179.99,$0.00,$179.99
Buchanan's Special  Reserve 18yrs 750ml,$179.98,$179.98,2,0,$0.00,$0.00,$0.00,0.04%,$89.99,$0.00,$179.98
DON JULIO 1942 ANEJO TEQUILA 375ML,$179.98,$179.98,2,0,$0.00,$0.00,$0.00,0.04%,$89.99,$0.00,$179.98
Jefferson's Reserve Twin Oak 750ml,$179.98,$179.98,2,0,$0.00,$0.00,$0.00,0.04%,$89.99,$179.98,$0.00
Joseph Phelps  Cabernet Sauvignon 750 Ml,$179.98,$179.98,2,0,$0.00,$0.00,$0.00,0.04%,$89.99,$0.00,$179.98
BUCHANANS MASTER SCOTCH WHISKY 750ML,$179.97,$179.97,3,0,$0.00,$0.00,$0.00,0.04%,$59.99,$0.00,$179.97
Blackn Crown R 1.75,$179.97,$179.97,3,0,$0.00,$0.00,$0.00,0.04%,$59.99,$0.00,$179.97
ELIJAH CRAIG TOASTED BARREL WHISKEY 750ML,$179.97,$179.97,3,0,$0.00,$0.00,$0.00,0.04%,$59.99,$0.00,$179.97
Glenmorangie 14 Years 750ml,$179.97,$179.97,3,0,$0.00,$0.00,$0.00,0.04%,$59.99,$0.00,$179.97
PAPAS PILAR SPANISH SHERRY CASKS RUM 750ML,$179.97,$179.97,3,0,$0.00,$0.00,$0.00,0.04%,$59.99,$0.00,$179.97
BOMBAY SAPPHIRE DRY GIN 1.75L BOMBAY SAPPHIRE GIN-IMPORTED 1.75L,$179.96,$179.96,4,0,$0.00,$0.00,$0.00,0.04%,$44.99,$0.00,$179.96
BOMBAY SAPPHIRE DRY GIN 750ML BOMBAY SAPPHIRE GIN-IMPORTED .100L,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
DEWARS WHITE LABEL WHIS-SCOTCH .750ML DEWARS WHITE LABEL WHIS-SCOTCH .750L,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
J.F Haden's Key Lime Pie Liqueur 750ml,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
Johnnie Walker Red Lable 750ml,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
MARGARITAVILLE SILVER TEQUILA 1.75L,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
Myers's Rum 750ml Glass Bottle,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
POLAR BEAR VODKA 8X POLAR BEAR VODKA 8X,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
TORO DE PIEDRA GRAND RESERVE Cabernet Sauvignon 2022,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,-,-
WHEATLEY VODKA 1.75L,$179.94,$179.94,6,0,$0.00,$0.00,$0.00,0.04%,$29.99,$0.00,$179.94
CALYPSO GOLD RUM 1.75L,$179.91,$179.91,9,0,$0.00,$0.00,$0.00,0.04%,$19.99,$0.00,$179.91
La Marca Prosecco Sparkling Wine 3pk,$179.91,$179.91,9,0,$0.00,$0.00,$0.00,0.04%,$19.99,$0.00,$179.91
MEIOMI PINOT NOIR WINE-DOMESTIC .750L MEIOMI PINOT NOIR WINE-DOMESTIC .750L,$179.91,$179.91,9,0,$0.00,$0.00,$0.00,0.04%,$19.99,$0.00,$179.91
ELYSIAN SPACE DUST IPA 6PACK,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
ISLAMORADA HAZY IPA TROPICALLY IMPAIRED 6PACK CANS,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
Jameson Ginger & Lime 4 Pack,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
LONG DRINK PEACH 6PACK CANS,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
MICHELOB ULTRA INFUSIONS LIME & PRICKLY PEAR CACTUS 6 PACK,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
YUENGLING BLACK AND TAN 6PACK BOTTLES,$179.90,$179.90,10,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$179.90
ON THE ROCKS ESPRESSO MARTINI COCKTAIL 375ML,$179.88,$179.88,12,0,$0.00,$0.00,$0.00,0.04%,$14.99,$84.00,$95.88
SUNNY D ORANGE PINEAPPLE 4PACK CANS,$179.88,$179.88,12,0,$0.00,$0.00,$0.00,0.04%,$14.99,$0.00,$179.88
CHARLESTON BLOODY MARY MIX BOLD& SPICY CHARLESTON BLOODY MARY MIX BOLD& SPICY,$179.82,$179.82,18,0,$0.00,$0.00,$0.00,0.04%,$9.99,$0.00,$179.82
Schweppes 6 PACK Ginger Ale,$179.82,$179.82,18,0,$0.00,$0.00,$0.00,0.04%,$9.99,$0.00,$179.82
Minute Maid Lemonade 591mL,$179.50,$179.50,50,0,$0.00,$0.00,$0.00,0.04%,$3.59,$0.00,$179.50
Gran Marnier Cuvee Du Centenaire,$229.99,$178.00,1,0,-$51.99,$0.00,$0.00,0.04%,$178.00,$0.00,$178.00
CHI-CHIS ORIGINAL MARGARITA 1.75L CHI-CHIS ORIGINAL MARGARITA PREP COCKTAILS 1.75L,$175.92,$175.92,8,0,$0.00,$0.00,$0.00,0.04%,$21.99,$0.00,$175.92
DUCKHORN SAUVIGNON BLANC 750ML,$175.92,$175.92,8,0,$0.00,$0.00,$0.00,0.04%,$21.99,$199.92,-$24.00
Patron El Alto Tequila Reposado 750ml,$174.99,$174.99,1,0,$0.00,$0.00,$0.00,0.04%,$174.99,$0.00,$174.99
BAILEY'S S'MORES 750ML,$174.95,$174.95,5,0,$0.00,$0.00,$0.00,0.04%,$34.99,$0.00,$174.95
DEEP EDDY LEMON VODKA 750ml DEEP EDDY LEMON VODKA-AMERICAN,$174.93,$174.93,7,0,$0.00,$0.00,$0.00,0.04%,$24.99,-,-
HEINEKEN BOTTLES 12 PACK BOTTLE,$174.93,$174.93,7,0,$0.00,$0.00,$0.00,0.04%,$24.99,$0.00,$174.93
HIGH NOON VODKA ICED TEA 8PACK,$174.93,$174.93,7,0,$0.00,$0.00,$0.00,0.04%,$24.99,$0.00,$174.93
Jumex Hard Nectar,$174.93,$174.93,7,0,$0.00,$0.00,$0.00,0.04%,$24.99,$0.00,$174.93
KONA BIG WAVE 12PACK,$174.93,$174.93,7,0,$0.00,$0.00,$0.00,0.04%,$24.99,$0.00,$174.93
Colada Coffee,$174.00,$174.00,58,0,$0.00,$0.00,$0.00,0.04%,$3.00,$0.00,$174.00
ADICTIVO TEQUILA PLATA 750ML,$173.97,$173.97,3,0,$0.00,$0.00,$0.00,0.04%,$57.99,$0.00,$173.97
ORIN SWIFT MACHETE RED WINE 750ML,$173.97,$173.97,3,0,$0.00,$0.00,$0.00,0.04%,$57.99,$0.00,$173.97
KISTLER RUSSIAN RIVER VALLEY PINOT NOIR 750ML,$171.98,$171.98,2,0,$0.00,$0.00,$0.00,0.04%,$85.99,$0.00,$171.98
RED BULL SUGAR FREE 8.4OZ,$171.57,$171.57,43,0,$0.00,$0.00,$0.00,0.04%,$3.99,$0.00,$171.57
Smirnoff Ice Screwdriver 6PACK,$170.91,$170.91,9,0,$0.00,$0.00,$0.00,0.04%,$18.99,$86.94,$83.97
DON JULIO PRIMAVERA TEQUILA 750 m DON JULIO PRIMAVERA TEQUILA 750 m,$169.99,$169.99,1,0,$0.00,$0.00,$0.00,0.04%,$169.99,$0.00,$169.99
Korbel Champagne Brut 750mL,$169.90,$169.90,10,0,$0.00,$0.00,$0.00,0.04%,$16.99,$0.00,$169.90
Custom Item,$169.50,$169.50,1,0,$0.00,$0.00,$0.00,0.04%,$169.50,-,-
Custom Item,$169.50,$169.50,10,0,$0.00,$0.00,$0.00,0.04%,$16.95,-,-
GOLD PEAK GREEN TEA  18.5 OZ,$169.50,$169.50,50,0,$0.00,$0.00,$0.00,0.04%,$3.39,$0.00,$169.50
BLUE CHAIR BAY BANANA RUM CREAM 750ML,$168.94,$168.94,6,0,$0.00,$0.00,$0.00,0.04%,$28.16,$0.00,$168.94
CANYON ROAD PINOT GRIGIO 750ML  CANYON ROAD PINOT GRIGIO WINE-DOMESTIC .100L,$168.87,$168.87,13,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$168.87
COCA COLA 12PK CANS,$168.87,$168.87,13,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$168.87
MARACA Cocktail Shaker MARACA,$168.87,$168.87,13,0,$0.00,$0.00,$0.00,0.04%,$12.99,$0.00,$168.87
Ole Smokey Moonshine Some Beach 750 Ml,$167.94,$167.94,6,0,$0.00,$0.00,$0.00,0.04%,$27.99,-,-
Ole Smoky Moonshine Pinaples 750 Ml,$167.94,$167.94,6,0,$0.00,$0.00,$0.00,0.04%,$27.99,-,-
Greek Olive Mix Pitted,$167.79,$167.79,21,0,$0.00,$0.00,$0.00,0.04%,$7.99,$0.00,$167.79
JAUME SERRA CRISTALINO ROSE BRUT 750ML,$167.79,$167.79,21,0,$0.00,$0.00,$0.00,0.04%,$7.99,$0.00,$167.79
Funyuns Onion Rings Chips 8oz,$167.58,$167.18,42,0,-$0.40,$0.00,$0.00,0.04%,$3.98,$59.64,$107.54
Teremana Anejo Small Batch 750ml,$164.97,$164.97,3,0,$0.00,$0.00,$0.00,0.04%,$54.99,$164.97,$0.00
DISARONNO ITLIAN LIQUEURS 750ML,$164.95,$164.95,5,0,$0.00,$0.00,$0.00,0.04%,$32.99,$0.00,$164.95
CHATEAU STE MICHELLE RIESLING,$164.89,$164.89,11,0,$0.00,$0.00,$0.00,0.04%,$14.99,$0.00,$164.89
PEYRASSOL LA CROIX 750ML,$164.89,$164.89,11,0,$0.00,$0.00,$0.00,0.04%,$14.99,$0.00,$164.89
Ole Smoky Strawberry Cream,$164.67,$164.67,33,0,$0.00,$0.00,$0.00,0.04%,$4.99,$0.00,$164.67
Schweppes Tonic Water 1L,$164.45,$164.45,55,0,$0.00,$0.00,$0.00,0.04%,$2.99,$0.00,$164.45
STELLA ARTOIS  6 PACK BOTTLE,$163.91,$163.91,9,0,$0.00,$0.00,$0.00,0.04%,$18.21,$0.00,$163.91
BLUE MOON BELGIAN WHITE WHEAT 6PACK  BLUE MOON BELGIAN WHITE WHEAT A BEER .100L,$162.91,$162.91,9,0,$0.00,$0.00,$0.00,0.04%,$18.10,$0.00,$162.91
LOUIS JADOT CHARDONNAY 750ML,$161.91,$161.91,9,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$161.91
SOUTH BEACH MIMOSA STRAWBEERY ORANGE SOUTH BEACH MIMOSA STRAWBEERY ORANGE,$161.91,$161.91,9,0,$0.00,$0.00,$0.00,0.04%,$17.99,$0.00,$161.91
BOARS HEAD CHARCUTERIE PEPPERONI AND CHEDDAR,$161.82,$161.82,18,0,$0.00,$0.00,$0.00,0.04%,$8.99,$0.00,$161.82
BUD LIGHT BOTTLES 12PK,$160.93,$160.93,7,0,$0.00,$0.00,$0.00,0.04%,$22.99,$0.00,$160.93
BULLEIT BOURBON FRONTIER WHISKEY 375ML,$160.93,$160.93,7,0,$0.00,$0.00,$0.00,0.04%,$22.99,$80.64,$80.29
Tip Top Expresso Martini,$160.77,$160.77,23,0,$0.00,$0.00,$0.00,0.04%,$6.99,$0.00,$160.77
Casamigos Añejo 1.75L,$159.99,$159.99,1,0,$0.00,$0.00,$0.00,0.04%,$159.99,$0.00,$159.99
CASAMIGOS MEZCAL 750 ML,$159.98,$159.98,2,0,$0.00,$0.00,$0.00,0.04%,$79.99,$0.00,$159.98
Casamigos Añejo 750ML,$159.98,$159.98,2,0,$0.00,$0.00,$0.00,0.04%,$79.99,$0.00,$159.98
HERRADURA TEQULA SILVER 1.75L HERRADURA TEQULA SILVER,$159.98,$159.98,2,0,$0.00,$0.00,$0.00,0.04%,$79.99,$0.00,$159.98
HORSE SOLDIER BOURBON  BARREL STRENGTH RESERVE 750ML,$159.98,$159.98,2,0,$0.00,$0.00,$0.00,0.04%,$79.99,$0.00,$159.98
VEUVE CLICQUOT RICH CHAMPAGNE .750L VEUVE CLICQUOT RICH CHAMPAGNE .750L,$159.98,$159.98,2,0,$0.00,$0.00,$0.00,0.04%,$79.99,$0.00,$159.98
Chivas Regal 12 Yrs Scotch Whisky 750ml,$159.96,$159.96,4,0,$0.00,$0.00,$0.00,0.04%,$39.99,$0.00,$159.96
DEWARS 12 YEARS  WHIS-SCOTCH 750 mL DEWARS SCOTCH WHIS-SCOTCH .100L,$159.96,$159.96,4,0,$0.00,$0.00,$0.00,0.04%,$39.99,$0.00,$159.96
Gosling Black Seal 1 L,$159.96,$159.96,4,0,$0.00,$0.00,$0.00,0.04%,$39.99,$39.99,$0.00
ISLAMORADA  SPICED RUM 750ML ISLLAMORADA SPICED RUM RUM-AMERICAN 750 m,$159.96,$159.96,4,0,$0.00,$0.00,$0.00,0.04%,$39.99,$86.00,$73.96
